calendar_source_line,calendar_class_date,calendar_start_time,calendar_end_time,calendar_location_text,calendar_class_title_text,calendar_teacher_text,calendar_reserved_count,calendar_capacity,calendar_fill_rate,drive_source_cell,drive_location_text,drive_class_title_text,drive_instructor_text,drive_capacity,match_score,match_status,capacity_difference,needs_review
69,2026-04-20,07:00,08:30,시이작,아쉬탕가 풀프라이머리 (준형),준형,4,4,1.0,R6C1,시이작,아쉬탕가 풀프라이머리(90분),준형,4,100.0,matched_same_capacity,0,False
71,2026-04-20,10:00,11:20,빅블루요가,정렬 에센스 (환),환,5,5,1.0,R7C1,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
73,2026-04-20,10:30,11:30,마인드플로우,비기너요가 (유미),유미,10,10,1.0,R8C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
75,2026-04-20,11:50,12:50,마이트리,테라피 (성욱),성욱,6,6,1.0,R9C1,마이트리,테라피(60분),성욱 -정원 5명,5,100.0,matched_capacity_mismatch,1,True
77,2026-04-20,18:30,19:30,마인드플로우,비기너요가 (유미),유미,7,10,0.7,R11C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
79,2026-04-20,18:30,19:30,시이작,깨어나는 하타 (준호),준호,4,4,1.0,R10C1,시이작,깨어나는 하타 (60분),준호,4,100.0,matched_same_capacity,0,False
81,2026-04-20,19:00,20:00,마이트리,하타 (성욱),성욱,3,5,0.6,R13C1,마이트리,하타 (60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
83,2026-04-20,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,5,5,1.0,,,,,,0.0,no_drive_candidate_same_time,,True
85,2026-04-20,20:00,21:00,마인드플로우,빈야사요가 (유미),유미,7,10,0.7,R14C1,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
87,2026-04-20,20:30,21:30,마이트리,테라피 (성욱),성욱,2,5,0.4,R15C1,마이트리,테라피(60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
91,2026-04-21,07:00,08:00,마이트리,하타 (성욱),성욱,3,5,0.6,R6C2,마이트리,하타(60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
93,2026-04-21,08:45,09:45,시이작,숨쉬는 테라피 (준형),준형,4,4,1.0,R7C2,시이작,테라피 요가(60분),준형,4,86.96,matched_same_capacity,0,False
95,2026-04-21,10:00,11:20,빅블루요가,호흡 리커버리 (환),환,2,5,0.4,R8C2,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
97,2026-04-21,10:30,11:30,마인드플로우,빈야사요가 (유미),유미,6,10,0.6,R9C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
99,2026-04-21,11:00,12:00,숨명상센터,향과 소리로 깨우는 오감명상 (수지),수지,5,8,0.625,R10C2,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),수지 (정원 8명),8,89.8,matched_same_capacity,0,False
101,2026-04-21,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,1,10,0.1,R12C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
103,2026-04-21,18:30,19:30,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R11C2,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
105,2026-04-21,19:00,20:00,마이트리,얼라인 요가 (준아),준아,2,5,0.4,R13C2,마이트리,얼라인 요가 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
107,2026-04-21,19:30,20:40,빅블루요가,정렬 에센스 (환),환,3,5,0.6,,,,,,0.0,no_drive_candidate_same_time,,True
109,2026-04-21,19:50,20:50,시이작,땀나는 하타 (수인),수인,4,4,1.0,R15C2,시이작,땀나는 하타(60분),수인,4,100.0,matched_same_capacity,0,False
111,2026-04-21,20:00,21:00,마인드플로우,비기너요가 (유미),유미,4,10,0.4,R16C2,마인드플로우,비기너요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
113,2026-04-21,20:30,21:30,마이트리,빈야사 (준아),준아,2,5,0.4,R17C2,마이트리,빈야사 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
117,2026-04-22,07:00,08:00,시이작,땀나는 아쉬탕가 (준형),준형,3,4,0.75,R6C3,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
119,2026-04-22,10:00,11:20,빅블루요가,정렬 에센스 (환),환,4,5,0.8,R7C3,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
121,2026-04-22,10:30,11:30,마인드플로우,하타요가 (유미),유미,5,10,0.5,R8C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
123,2026-04-22,11:50,12:50,마이트리,빈야사 (성욱),성욱,3,5,0.6,R9C3,마이트리,빈야사 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
125,2026-04-22,12:00,13:00,시이작,숨쉬는 테라피 (수인),수인,2,4,0.5,R10C3,시이작,숨쉬는 테라피(60분),수인,4,100.0,matched_same_capacity,0,False
127,2026-04-22,13:30,15:00,마이트리,하타 집중 (지바나),지바나,4,5,0.8,,,,,,0.0,no_drive_candidate_same_time,,True
129,2026-04-22,18:30,19:30,마인드플로우,움직임명상 (유미),유미,0,10,0.0,R12C3,마인드플로우,움직임명상(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
131,2026-04-22,18:30,19:30,시이작,깨어나는 빈야사 (예진),예진,2,4,0.5,R11C3,시이작,깨어나는 빈야사(60분),예진,4,100.0,matched_same_capacity,0,False
133,2026-04-22,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,5,5,1.0,R14C3,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
135,2026-04-22,19:00,20:00,마이트리,하타 (연우),연우,5,5,1.0,R13C3,마이트리,하타 요가 (60분),연우 -정원 5명,5,100.0,matched_same_capacity,0,False
137,2026-04-22,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,2,5,0.4,,,,,,0.0,no_drive_candidate_same_time,,True
139,2026-04-22,19:50,20:50,시이작,다독이는 인요가 (예진),예진,3,4,0.75,R16C3,시이작,다독이는 인요가(60분),예진,4,100.0,matched_same_capacity,0,False
141,2026-04-22,20:00,21:00,마인드플로우,하타요가 (유미),유미,2,10,0.2,R17C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
143,2026-04-22,20:30,21:30,마이트리,아쉬탕가 (연우),연우,1,5,0.2,R18C3,마이트리,아쉬탕가 (60분),연우 -정원5명,5,100.0,matched_same_capacity,0,False
147,2026-04-23,07:00,08:00,마이트리,빈야사 (성욱),성욱,0,5,0.0,R7C4,마이트리,빈야사 (60분),성욱 - 정원5명,5,100.0,matched_same_capacity,0,False
149,2026-04-23,07:00,08:00,시이작,초급 빈야사 (준형),준형,4,4,1.0,R6C4,시이작,초급 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
151,2026-04-23,10:00,11:00,마이트리,하타베이직 (성욱),성욱,5,5,1.0,R8C4,마이트리,하타베이직 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
153,2026-04-23,10:00,11:00,빅블루요가,호흡 리커버리 (환),환,5,5,1.0,R9C4,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
155,2026-04-23,10:30,11:30,마인드플로우,빈야사요가 (보람),보람,6,10,0.6,R10C4,마인드플로우,빈야사요가(60분),보람 정원 10명,10,100.0,matched_same_capacity,0,False
157,2026-04-23,11:00,12:00,숨 명상센터,마음의 평온을 찾는 호흡명상 (수지),수지,3,8,0.375,,,,,,0.0,no_drive_candidate_same_time,,True
159,2026-04-23,12:00,13:00,시이작,땀나는 하타 (수인),수인,4,4,1.0,R11C4,시이작,땀나는 하타 (60분),수인,4,100.0,matched_same_capacity,0,False
161,2026-04-23,17:00,18:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,2,5,0.4,R13C4,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
163,2026-04-23,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,5,10,0.5,R15C4,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
165,2026-04-23,18:30,19:30,시이작,땀나는 빈야사 (준형),준형,4,4,1.0,R14C4,시이작,땀나는 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
167,2026-04-23,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,2,5,0.4,R16C4,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
169,2026-04-23,19:00,20:00,마이트리,테라피 (준아),준아,0,5,0.0,R18C4,마이트리,테라피 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
171,2026-04-23,19:30,20:30,숨명상센터,향과 소리로 깨우는 오감명상 (수지),수지,6,8,0.75,R19C4,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),숨명상센터 수지 (정원 8명),8,89.8,matched_same_capacity,0,False
173,2026-04-23,19:30,20:40,빅블루요가,정렬 에센스 (환),환,4,5,0.8,R19C4,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),숨명상센터 수지 (정원 8명),8,20.51,low_confidence_match,-3,True
175,2026-04-23,19:50,20:50,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R20C4,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
177,2026-04-23,20:00,21:00,마인드플로우,비기너요가 (유미),유미,3,5,0.6,R21C4,마인드플로우,비기너요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-5,True
179,2026-04-23,20:30,21:30,마이트리,빈야사 어드밴스 (준아),준아,2,5,0.4,R22C4,마이트리,빈야사 어드밴스(60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
183,2026-04-24,08:45,09:45,시이작,땀나는 빈야사 (준형),준형,4,4,1.0,R6C5,시이작,땀나는 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
185,2026-04-24,10:00,11:20,빅블루요가,정렬 에센스 (환),환,5,5,1.0,R7C5,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
187,2026-04-24,10:30,11:30,마인드플로우,비기너요가 (유미),유미,6,10,0.6,R8C5,마인드플로우,비기너요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
189,2026-04-24,11:50,12:50,마이트리,하타 (지바나),지바나,5,5,1.0,R9C5,마이트리,하타(60분),지바나 정원5명,5,100.0,matched_same_capacity,0,False
191,2026-04-24,13:30,15:00,마이트리,빈야사 AD (준아),준아,4,5,0.8,,,,,,0.0,no_drive_candidate_same_time,,True
193,2026-04-24,17:00,18:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,4,5,0.8,R10C5,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
195,2026-04-24,18:30,19:30,마인드플로우,하타요가 (고은),고은,8,10,0.8,R12C5,마인드플로우,하타요가(60분),고은 정원 10명,10,100.0,matched_same_capacity,0,False
197,2026-04-24,18:30,19:30,시이작,다독이는 인요가 (예진),예진,3,4,0.75,R11C5,시이작,다독이는 인요가(60분),예진,4,100.0,matched_same_capacity,0,False
199,2026-04-24,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,1,5,0.2,R14C5,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
201,2026-04-24,19:00,20:00,마이트리,아쉬탕가 (연우),연우,5,5,1.0,R13C5,마이트리,아쉬탕가 (60분),연우 정원5명,5,100.0,matched_same_capacity,0,False
203,2026-04-24,19:50,20:50,시이작,땀나는 빈야사 (준형),준형,4,4,1.0,R15C5,시이작,땀나는 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
205,2026-04-24,20:00,21:00,마인드플로우,빈야사요가 (고은),고은,8,10,0.8,R16C5,마인드플로우,빈야사요가(60분),고은 정원 10명,10,100.0,matched_same_capacity,0,False
207,2026-04-24,20:30,21:30,마이트리,테라피 (연우),연우,4,5,0.8,R17C5,마이트리,테라피 (60분),연우 - 정원5명,5,100.0,matched_same_capacity,0,False
211,2026-04-25,10:00,11:00,연희정음|랜드마크,부드럽게 비기너요가 (유미),유미,10,10,1.0,R6C6,연희정음|랜드마크,부드럽게 비기너 요가(60분),글래스파빌리온 마인드플로우 유미,15,85.0,matched_capacity_mismatch,-5,True
213,2026-04-25,10:00,11:20,빅블루요가,정렬 에센스 (환),환,6,6,1.0,R7C6,빅블루요가,호흡 리커버리 : 안정된 숨 쉬기 (80분),환 (정원 5명),5,66.67,low_confidence_match,1,True
215,2026-04-25,11:00,12:00,마이트리,빈야사 (성욱),성욱,5,5,1.0,R8C6,마이트리,빈야사 (60분),성욱 - 정원5명,5,100.0,matched_same_capacity,0,False
217,2026-04-25,11:00,12:30,시이작|연희스페셜,러닝으로 이어지는 명상 with 프라우카 (종민),종민,14,14,1.0,R8C6,마이트리,빈야사 (60분),성욱 - 정원5명,5,15.69,low_confidence_match,9,True
219,2026-04-25,12:00,13:00,연희정음|랜드마크,무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),숨비소리,15,15,1.0,R9C6,연희정음|랜드마크,무릉 엠비언트 콘서트,글래스파빌리온 무릉 숨비소리,15,100.0,matched_same_capacity,0,False
221,2026-04-25,13:30,15:00,빅블루요가|연희스페셜,호흡어드밴스 : 숨의 리듬 익히기,,7,7,1.0,,,,,,0.0,no_drive_candidate_same_time,,True
223,2026-04-25,14:00,15:00,연희정음|랜드마크,봄햇살 아래 나른한 힐링요가 (수인),수인,10,10,1.0,R10C6,연희정음|랜드마크,봄햇살 아래 나른한 힐링요가(60분),글래스파빌리온 시이작 수인,15,100.0,matched_capacity_mismatch,-5,True
225,2026-04-25,16:00,17:00,연희정음|랜드마크,명상 흐름의 슬로우 빈야사 (고은),고은,10,10,1.0,R12C6,연희정음|랜드마크,명상 흐름의 슬로우 빈야사(60분),글래스파빌리온 마인드플로우 고은,15,100.0,matched_capacity_mismatch,-5,True
227,2026-04-25,18:00,19:00,연희정음|랜드마크,핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드),준형 & 마고사운드,8,8,1.0,R13C6,연희정음|랜드마크,핸드팬 메디테이션 & 요가 (60분),연희정음 시이작 준형 / 마고사운드,15,75.0,matched_capacity_mismatch,-7,True
231,2026-04-26,10:00,11:00,연남장|커뮤니티허브,차근 차근 몸을 깨우는 하타요가 (유미),유미,25,29,0.8621,R6C7,연남장|커뮤니티허브,차근차근 몸을 깨우는 하타 요가(60분),마인드플로우 유미,30,83.33,matched_capacity_mismatch,-1,True
233,2026-04-26,10:00,11:00,연희정음|랜드마크,빅블루의 호흡 회복 요가 (환),환,9,10,0.9,R7C7,연희정음|랜드마크,요가 (60분),환 (정원 5명),5,100.0,matched_capacity_mismatch,5,True
235,2026-04-26,12:00,13:00,연남장|커뮤니티허브,처음이라 좋은 아쉬탕가 with 베지어트 (준형),준형,28,28,1.0,R9C7,연남장|커뮤니티허브,초급 아쉬탕가-베지어트 이벤트 클래스(60분),연남장 시이작 준형,30,77.97,matched_capacity_mismatch,-2,True
237,2026-04-26,12:00,13:00,연희정음|랜드마크,무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),숨비소리,8,10,0.8,R8C7,연희정음|랜드마크,무릉 엠비언트 콘서트,연희정음 3층 무릉 숨비소리,20,100.0,matched_capacity_mismatch,-10,True
239,2026-04-26,13:15,14:30,연남장|커뮤니티허브,비트박스 공연과 호흡소리로 몰입하는 요가 (환),환,13,30,0.4333,R10C7,연남장|커뮤니티허브,비트박스 공연과 호흡소리 요가(미정),연남장 환 정원 30명,30,84.51,matched_same_capacity,0,False
241,2026-04-26,14:00,15:40,연희정음|랜드마크,인요가와 저널링 with 프라우카 (예진),예진,20,20,1.0,R11C7,연희정음|랜드마크,인요가와 저널링(60분),시이작 예진,20,91.3,matched_same_capacity,0,False
243,2026-04-26,15:00,16:00,연남장|커뮤니티허브,마인드풀니스 테라피 요가 (아카샤(은채)),,28,28,1.0,R12C7,연남장|커뮤니티허브,아카샤의 테라피 요가,아카샤(은채),30,79.07,matched_capacity_mismatch,-2,True
245,2026-04-26,16:30,17:30,연남장|커뮤니티허브,Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기 (미쉘),미쉘,30,30,1.0,R13C7,연남장|커뮤니티허브,Forrestyoga의 움직임을 기반으로,미쉘 정원 30명,30,91.14,matched_same_capacity,0,False
247,2026-04-26,17:30,18:30,연희정음|랜드마크,"예술 명상 콘서트-피아노 기타 연주와 그림 감상을 하며, 마음에 스며드는 명상 콘서트 (수지)",수지,4,20,0.2,,,,,,0.0,no_drive_candidate_same_time,,True
249,2026-04-26,18:00,19:00,마인드플로우|연희스페셜,몸으로 하는 선셋 자애 명상 (유미),유미,9,9,1.0,R15C7,마인드플로우|연희스페셜,몸으로 하는 선셋 자애 명상 (60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-1,True
251,2026-04-26,18:00,19:00,연남장|커뮤니티허브,숨비소리 사운드 리추얼 (숨비소리),숨비소리,8,20,0.4,R16C7,연남장|커뮤니티허브,(요가위크한정) 숨비소리 사운들 리추얼(60분),연남장 무릉 숨비소리,50,90.48,matched_capacity_mismatch,-30,True
253,2026-04-26,19:30,20:30,연희정음,핸드팬 사운드스케이프 '일렁' (미지수),미지수,2,15,0.1333,,,,,,0.0,no_drive_candidate_same_time,,True
255,2026-04-26,19:50,21:20,시이작,땀나는 하타 (수인),수인,7,7,1.0,R18C7,시이작,땀나는 하타(90분),시이작 수인,5,100.0,matched_capacity_mismatch,2,True
259,2026-04-27,07:00,08:30,시이작,아쉬탕가 풀프라이머리 (준형),준형,3,4,0.75,R27C1,시이작,아쉬탕가 풀프라이머리(90분),준형,4,100.0,matched_same_capacity,0,False
261,2026-04-27,10:00,11:20,빅블루요가,정렬 에센스 (환),환,6,6,1.0,R28C1,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,1,True
263,2026-04-27,10:30,11:30,마인드플로우,비기너요가 (유미),유미,4,10,0.4,R29C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
265,2026-04-27,11:50,12:50,마이트리,테라피 (성욱),성욱,5,5,1.0,R30C1,마이트리,테라피(60분),성욱 -정원 5명,5,100.0,matched_same_capacity,0,False
267,2026-04-27,18:30,19:30,마인드플로우,비기너요가 (유미),유미,1,10,0.1,R32C1,마인드플로우,비기너요가(60분),유미,10,100.0,matched_same_capacity,0,False
269,2026-04-27,18:30,19:30,시이작,깨어나는 하타 (준호),준호,4,4,1.0,R31C1,시이작,깨어나는 하타 (60분),준호,4,100.0,matched_same_capacity,0,False
271,2026-04-27,19:00,20:00,마이트리,하타 (성욱),성욱,3,5,0.6,R34C1,마이트리,하타 (60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
273,2026-04-27,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,4,6,0.6667,,,,,,0.0,no_drive_candidate_same_time,,True
275,2026-04-27,20:00,21:00,마인드플로우,빈야사요가 (유미),유미,5,10,0.5,R35C1,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
277,2026-04-27,20:30,21:30,마이트리,테라피 (성욱),성욱,4,5,0.8,R36C1,마이트리,테라피(60분),마이트리 성욱 -정원5명,5,100.0,matched_same_capacity,0,False
281,2026-04-28,07:00,08:00,마이트리,하타 (성욱),성욱,2,5,0.4,R27C2,마이트리,하타(60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
283,2026-04-28,08:45,09:45,시이작,테라피 쉬운 요가 (준형),준형,4,4,1.0,R28C2,시이작,테라피 요가(60분),준형,4,100.0,matched_same_capacity,0,False
285,2026-04-28,10:00,11:20,빅블루요가,호흡 리커버리 (환),환,6,6,1.0,R29C2,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,1,True
287,2026-04-28,10:30,11:30,마인드플로우,빈야사요가 (유미),유미,8,10,0.8,R30C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
289,2026-04-28,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,2,5,0.4,R33C2,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-5,True
291,2026-04-28,18:30,19:30,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R32C2,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
293,2026-04-28,19:00,20:00,마이트리,얼라인 요가 (준아),준아,5,5,1.0,R34C2,마이트리,얼라인 요가 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
295,2026-04-28,19:30,20:30,숨명상센터,숙면을 위한 바디스캔 (수지),수지,5,6,0.8333,R36C2,숨명상센터,숙면을 위한 바디스캔 (60분),수지 (정원 8명),8,100.0,matched_capacity_mismatch,-2,True
297,2026-04-28,19:30,20:40,빅블루요가,정렬 에센스 (환),환,7,7,1.0,R36C2,숨명상센터,숙면을 위한 바디스캔 (60분),수지 (정원 8명),8,17.65,low_confidence_match,-1,True
299,2026-04-28,19:50,20:50,시이작,땀나는 하타 (수인),수인,4,4,1.0,R37C2,시이작,땀나는 하타(60분),수인,4,100.0,matched_same_capacity,0,False
301,2026-04-28,20:00,21:00,마인드플로우,비기너요가 (유미),유미,2,5,0.4,R38C2,마인드플로우,비기너요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-5,True
303,2026-04-28,20:30,21:30,마이트리,빈야사 (준아),준아,1,5,0.2,R39C2,마이트리,빈야사 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
307,2026-04-29,07:00,08:00,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R27C3,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
309,2026-04-29,10:00,11:20,빅블루요가,정렬 에센스 (환),환,7,7,1.0,R28C3,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,2,True
311,2026-04-29,10:30,11:30,마인드플로우,하타요가 (유미),유미,4,10,0.4,R29C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
313,2026-04-29,11:50,12:50,마이트리,빈야사 (성욱),성욱,4,5,0.8,R30C3,마이트리,빈야사 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
315,2026-04-29,12:00,13:00,시이작,숨쉬는 테라피 (수인),수인,4,4,1.0,R31C3,시이작,숨쉬는 테라피(60분),수인,4,100.0,matched_same_capacity,0,False
317,2026-04-29,13:30,15:00,마이트리,하타 집중 (지바나),지바나,3,5,0.6,,,,,,0.0,no_drive_candidate_same_time,,True
319,2026-04-29,18:30,19:30,마인드플로우,움직임명상 (유미),유미,3,6,0.5,R33C3,마인드플로우,움직임명상(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-4,True
321,2026-04-29,18:30,19:30,시이작,깨어나는 빈야사 (예진),예진,4,4,1.0,R32C3,시이작,깨어나는 빈야사(60분),예진,4,100.0,matched_same_capacity,0,False
323,2026-04-29,19:00,20:00,마이트리,하타 (연우),연우,5,5,1.0,R34C3,마이트리,하타 요가 (60분),연우 -정원 5명,5,100.0,matched_same_capacity,0,False
325,2026-04-29,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,6,6,1.0,,,,,,0.0,no_drive_candidate_same_time,,True
327,2026-04-29,19:50,20:50,시이작,다독이는 인요가 (예진),예진,4,4,1.0,R36C3,시이작,다독이는 인요가(60분),예진,4,100.0,matched_same_capacity,0,False
329,2026-04-29,20:00,21:00,마인드플로우,하타요가 (유미),유미,4,6,0.6667,R37C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-4,True
331,2026-04-29,20:30,21:30,마이트리,아쉬탕가 (연우),연우,2,5,0.4,R38C3,마이트리,아쉬탕가 (60분),연우 -정원5명,5,100.0,matched_same_capacity,0,False
335,2026-04-30,07:00,08:00,마이트리,빈야사 (성욱),성욱,0,5,0.0,R28C4,마이트리,빈야사 (60분),성욱 - 정원5명,5,100.0,matched_same_capacity,0,False
337,2026-04-30,07:00,08:00,시이작,초급 빈야사 (준형),준형,2,4,0.5,R27C4,시이작,초급 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
339,2026-04-30,10:00,11:00,마이트리,하타베이직 (성욱),성욱,5,5,1.0,R29C4,마이트리,하타베이직 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
341,2026-04-30,10:00,11:20,빅블루요가,호흡 리커버리 (환),환,8,8,1.0,R30C4,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,3,True
343,2026-04-30,10:30,11:30,마인드플로우,빈야사요가 (보람),보람,4,10,0.4,R31C4,마인드플로우,빈야사요가(60분),보람 정원 10명,10,100.0,matched_same_capacity,0,False
345,2026-04-30,11:00,12:10,숨명상센터,안산 트레킹 오감 명상 (수지),수지,6,8,0.75,,,,,,0.0,no_drive_candidate_same_time,,True
347,2026-04-30,12:00,13:00,시이작,땀나는 하타 (수인),수인,4,4,1.0,R32C4,시이작,땀나는 하타 (60분),수인,4,100.0,matched_same_capacity,0,False
349,2026-04-30,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,7,8,0.875,R36C4,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-2,True
